pitch1_mean,pitch1_std,pitch1_min,pitch1_max,roll1_mean,roll1_std,roll1_min,roll1_max,pitch2_mean,pitch2_std,pitch2_min,pitch2_max,roll2_mean,roll2_std,roll2_min,roll2_max,delta_pitch_mean,delta_pitch_std,delta_pitch_min,delta_pitch_max,fsr1_scaled_mean,fsr1_scaled_std,fsr1_scaled_min,fsr1_scaled_max,fsr2_scaled_mean,fsr2_scaled_std,fsr2_scaled_min,fsr2_scaled_max,fsr_total_mean,fsr_total_std,fsr_total_min,fsr_total_max,fsr_balance_mean,fsr_balance_std,fsr_balance_min,fsr_balance_max,label,session_id,source_file
0.235,0.056506636778346664,0.13,0.31,0.3422,0.033304053807307,0.27,0.39,-0.053200000000000004,0.02955943165894771,-0.11,0.01,0.12119999999999997,0.02847033543883879,0.08,0.2,0.28759999999999997,0.04042573437799244,0.19,0.35,0.28,0.001999999999999996,0.27,0.29,0.09799999999999998,0.004472135954999582,0.08,0.1,0.375,0.005744562646538034,0.36,0.39,0.48739999999999994,0.011456002793295759,0.47,0.54,1,0,good_01.csv
0.2066,0.04970352100203767,0.13,0.31,0.3566,0.019556073225471416,0.31,0.4,-0.0676,0.0332,-0.14,0.01,0.1272,0.02932848444771738,0.08,0.2,0.27380000000000004,0.03428644046850007,0.19,0.33,0.28,0.001999999999999996,0.27,0.29,0.09799999999999999,0.0040000000000000036,0.09,0.1,0.37599999999999995,0.005291502622129186,0.37,0.39,0.486,0.008717797887081356,0.47,0.51,1,0,good_01.csv
0.2168,0.05533317269052987,0.09,0.34,0.29979999999999996,0.07441747106694772,0.12,0.4,-0.08259999999999999,0.053955907924897344,-0.22,0.05,0.16400000000000003,0.04454211490264018,0.1,0.28,0.29980000000000007,0.02774815309169243,0.24,0.39,0.2816,0.003666060555964655,0.28,0.29,0.09659999999999998,0.004737087712930808,0.09,0.1,0.37759999999999994,0.004715930449020642,0.37,0.39,0.4929999999999999,0.010246950765959608,0.48,0.52,1,0,good_01.csv
0.2006,0.06721339152282081,0.05,0.34,0.066,0.19678414570284875,-0.25,0.39,-0.1082,0.0624720737610014,-0.22,0.05,0.2452,0.06717856801093634,0.1,0.38,0.3094,0.033009695545399995,0.24,0.39,0.2836,0.004799999999999978,0.28,0.29,0.09679999999999998,0.004664761515876244,0.09,0.1,0.3796,0.004882622246293485,0.37,0.39,0.4931999999999999,0.011565465835840779,0.47,0.52,1,0,good_01.csv
0.15380000000000002,0.05716257516942357,0.04,0.3,-0.11920000000000001,0.10729100614683414,-0.3,0.17,-0.1408,0.04358164751360371,-0.23,-0.04,0.3044,0.03904663877979768,0.23,0.41,0.2946,0.04080245090677764,0.22,0.38,0.29040000000000005,0.008236504112789585,0.28,0.3,0.09879999999999997,0.0038157568056677855,0.09,0.11,0.38839999999999997,0.010268398122394756,0.37,0.41,0.4918,0.01071260939267367,0.46,0.52,1,0,good_01.csv
0.1292,0.04218246081015189,0.04,0.22,-0.0148,0.1624960307207533,-0.3,0.25,-0.143,0.04932544982055409,-0.23,-0.04,0.2622,0.06453805079176159,0.17,0.41,0.27199999999999996,0.03752332607858744,0.16,0.36,0.29560000000000003,0.005713142742834279,0.28,0.3,0.10099999999999998,0.0029999999999999988,0.1,0.11,0.3962,0.005963220606350233,0.38,0.41,0.4914,0.01183384975398962,0.46,0.52,1,0,good_01.csv
0.17220000000000002,0.09984568092812027,0.02,0.41,0.2736,0.2899431668448146,-0.19,0.93,-0.10520000000000002,0.06873834446653483,-0.23,0.04,0.1202,0.11280939677172289,-0.09,0.32,0.2772,0.05180887954781496,0.16,0.42,0.29179999999999995,0.006225752966509348,0.27,0.3,0.10059999999999998,0.0036932370625238774,0.09,0.11,0.39220000000000005,0.007011419257183248,0.37,0.4,0.4886,0.013116401945655685,0.46,0.52,1,0,good_01.csv
0.2072,0.11464798297397125,-0.02,0.41,0.5142,0.2307300587266427,0.04,0.93,-0.09079999999999998,0.08158038980049066,-0.29,0.04,0.0128,0.06835320036399173,-0.11,0.15,0.29840000000000005,0.05334266585014288,0.2,0.42,0.2894,0.004199999999999991,0.27,0.3,0.09979999999999999,0.0024413111231467418,0.09,0.11,0.38980000000000004,0.005827520913733391,0.37,0.4,0.486,0.010198039027185576,0.46,0.52,1,0,good_01.csv
0.19359999999999997,0.0852,-0.02,0.35,0.5842,0.09907754538743882,0.35,0.71,-0.12279999999999999,0.07260964123310348,-0.29,0.02,0.042199999999999994,0.07181336922885598,-0.11,0.18,0.3172,0.040251211161901695,0.24,0.41,0.291,0.003605551275463989,0.28,0.3,0.10220000000000003,0.004142463035441594,0.1,0.11,0.3934,0.005141984052872981,0.38,0.4,0.4808,0.011973303637676609,0.45,0.5,1,0,good_01.csv
0.2102,0.06646773653435176,0.05,0.36,0.4150000000000001,0.2285016411319621,-0.08,0.71,-0.152,0.04947726750741193,-0.26,-0.05,0.1824,0.11945810981260334,-0.02,0.43,0.3626,0.05736932978517355,0.27,0.48,0.285,0.00984885780179609,0.26,0.3,0.10640000000000001,0.004799999999999998,0.1,0.11,0.39,0.009797958971132722,0.37,0.4,0.45880000000000004,0.025584370228715812,0.4,0.5,1,0,good_01.csv
0.1622,0.1295112350338765,-0.14,0.36,-0.0584,0.3859345022150779,-0.85,0.48,-0.2348,0.09681404856734378,-0.41,-0.06,0.4578,0.20217111564217083,0.13,0.82,0.3978,0.05794100447869367,0.26,0.5,0.2778,0.007560423268574312,0.26,0.29,0.10559999999999999,0.0057131427428342785,0.09,0.11,0.3822,0.00922821759604747,0.37,0.4,0.4518,0.024955159787106156,0.4,0.49,1,0,good_01.csv
0.0864,0.11769044141305615,-0.14,0.35,-0.49860000000000004,0.2733130805504925,-0.94,0.06,-0.29540000000000005,0.09020443448079478,-0.49,-0.06,0.7295999999999999,0.12979922958168896,0.45,0.92,0.3828000000000001,0.05462746561941164,0.26,0.5,0.28700000000000003,0.011874342087037906,0.26,0.31,0.10640000000000001,0.005919459434779496,0.09,0.12,0.3918000000000001,0.014790537515587452,0.37,0.42,0.46419999999999995,0.018771254619763693,0.41,0.49,1,0,good_01.csv
0.1542,0.15637250397688207,-0.09,0.51,-0.5025999999999999,0.24854625324071977,-0.94,0.04,-0.3074,0.10170172073273884,-0.54,-0.06,0.7297999999999999,0.11495198997842535,0.5,0.92,0.4616,0.11650510718419171,0.3,0.73,0.3078,0.016283734215467912,0.28,0.35,0.11280000000000001,0.004915282290977801,0.1,0.12,0.41980000000000006,0.021117765033260502,0.39,0.47,0.4679999999999999,0.01216552506059643,0.43,0.49,1,0,good_01.csv
0.24860000000000004,0.18070982264392826,-0.16,0.66,-0.3002,0.24777804583941654,-0.79,0.08,-0.2674,0.18117185211836856,-0.55,0.29,0.5592,0.11292191992700089,0.31,0.82,0.5146000000000001,0.1149297176538775,0.28,0.74,0.33260000000000006,0.017182549286994638,0.3,0.35,0.11559999999999998,0.00496386945839634,0.11,0.12,0.4484,0.017362027531368573,0.41,0.47,0.4866,0.020060907257649148,0.43,0.53,1,0,good_01.csv
0.08619999999999997,0.24791845433529144,-0.34,0.66,-0.20480000000000004,0.23566280996372763,-0.62,0.32,-0.34480000000000005,0.23396786104078485,-0.81,0.29,0.42219999999999996,0.10173082128833916,0.24,0.62,0.43019999999999997,0.10418234015417392,0.26,0.74,0.33799999999999997,0.01754992877478424,0.28,0.35,0.11139999999999999,0.0098,0.08,0.12,0.44920000000000004,0.025987689393249257,0.37,0.47,0.5072,0.016618062462272806,0.48,0.55,1,0,good_01.csv
-0.2008,0.2881724483707629,-0.75,0.26,-0.2064,0.38069284206562115,-1.06,0.75,-0.5034000000000001,0.21050995225879468,-0.9,-0.14,0.3648000000000001,0.13733521034315999,-0.06,0.69,0.3024,0.160081978998262,-0.13,0.47,0.285,0.04964876634922564,0.21,0.35,0.0966,0.013944174410842686,0.08,0.12,0.3817999999999999,0.062375956906487624,0.29,0.47,0.49019999999999997,0.03535477336937688,0.41,0.55,1,0,good_01.csv
